table_name,variable_name,varable_type
claims,snz_uid,int
claims,snz_acc_uid,int
claims,snz_employee_ird_uid,int
claims,acc_cla_accident_date,date
claims,acc_cla_accident_calendar_year_n..,smallint
claims,acc_cla_claim_costs_to_date_ex_g..,decimal
claims,acc_cla_tot_med_fee_paid_amt,decimal
claims,acc_cla_tot_weekly_comp_paid_amt,decimal
claims,acc_cla_weekly_comp_days_nbr,smallint
claims,acc_cla_accident_in_NZ_ind,char
claims,acc_cla_activity_prior_text,varchar
claims,acc_cla_scene_text,varchar
claims,acc_cla_road_accident_ind,char
claims,acc_cla_road_agency_text,varchar
claims,acc_cla_secondary_road_agency_te..,varchar
claims,acc_cla_injury_cause_text,varchar
claims,acc_cla_injury_contact_text,varchar
claims,acc_cla_external_agency_text,varchar
claims,acc_cla_occupation_level1_text,varchar
claims,acc_cla_occupation_level5_text,varchar
claims,acc_cla_work_type_text,varchar
claims,acc_cla_client_earner_status_tex..,varchar
claims,snz_acc_claim_form_45_uid,int
claims,acc_cla_accredited_employer_ind,char
claims,acc_cla_wilful_self_inflicted_st..,varchar
claims,snz_acc_claim_uid,int
claims,acc_cla_decision_text,varchar
claims,acc_cla_fund_account_text,varchar
claims,acc_cla_age_at_accident_nbr,smallint
claims,acc_cla_wilful_self_inflicted_in..,date
claims,acc_cla_fatal_ind,varchar
claims,acc_cla_gradual_process_ind,varchar
claims,acc_cla_at_work_ind,varchar
claims,acc_cla_entitlement_claim_ind,varchar
claims,acc_cla_ethnic1_text,varchar
claims,acc_cla_ethnic2_text,varchar
claims,acc_cla_ethnic3_text,varchar
claims,acc_cla_prioritised_ethnic_text,varchar
claims,acc_cla_lodgement_date,date
claims,acc_cla_registration_date,date
claims,acc_cla_primary_injury_body_side..,varchar
claims,acc_cla_read_code,varchar
claims,acc_cla_read_code_text,varchar
claims,acc_cla_ICD9_code,varchar
claims,acc_cla_ICD10_code,varchar
claims,acc_cla_primary_injury_site_text,varchar
claims,acc_cla_primary_diagnosis_text,varchar
claims,acc_cla_primary_diagnosis_group_..,varchar
claims,acc_cla_birth_month_nbr,tinyint
claims,acc_cla_birth_year_nbr,smallint
claims,acc_cla_sex_snz_code,varchar
claims,snz_acc_nhi_uid,int
claims,acc_cla_employee_ird_invalid_ind,bit
claims,acc_cla_classification_unit_text,varchar
claims,acc_cla_classification_unit_code,varchar
claims,acc_cla_industry_desc_text,varchar
claims,acc_cla_industry_code,varchar
claims,acc_cla_accident_region_text,varchar
claims,acc_cla_accident_ta_text,varchar
claims,acc_cla_work_related_ind,char
claims,acc_cla_ethnic1_snz_code,varchar
claims,acc_cla_ethnic2_snz_code,varchar
claims,acc_cla_ethnic3_snz_code,varchar
claims,acc_cla_prioritised_ethnic_snz_c..,varchar
claims,acc_cla_ethnic_grp1_snz_ind,bit
claims,acc_cla_ethnic_grp2_snz_ind,bit
claims,acc_cla_ethnic_grp3_snz_ind,bit
claims,acc_cla_ethnic_grp4_snz_ind,bit
claims,acc_cla_ethnic_grp5_snz_ind,bit
claims,acc_cla_ethnic_grp6_snz_ind,bit
claims,snz_idi_address_register_uid,int
claims,acc_cla_region_code,char
claims,acc_cla_ta_code,char
claims,acc_cla_meshblock_code,char
claims,acc_cla_meshblock_imputed_ind,varchar
medical_codes,snz_acc_claim_uid,int
medical_codes,acc_med_injury_count_nbr,smallint
medical_codes,acc_med_injury_precedence_nbr,tinyint
medical_codes,acc_med_read_code,varchar
medical_codes,acc_med_read_code_text,varchar
medical_codes,acc_med_ICD9_code,varchar
medical_codes,acc_med_ICD9_text,varchar
medical_codes,acc_med_ICD10_code,varchar
medical_codes,acc_med_ICD10_text,varchar
medical_codes,acc_med_injury_diagnosis_code,char
medical_codes,acc_med_injury_diagnosis_text,varchar
medical_codes,acc_med_injury_diagnosis_group_t..,varchar
medical_codes,acc_med_primary_injury_ind,char
medical_codes,acc_med_accident_date,date
enterprise,br_ent_enterprise_nbr,char
enterprise,br_ent_dim_start_month_key,int
enterprise,br_ent_dim_end_month_key,int
enterprise,br_ent_live_ind,char
