table_schema,table_name,column_name,ref20200120,ref20200720,ref20201020,ref20210420
acc_clean,claims,acc_cla_ICD10_code,1,1,1,1
acc_clean,claims,acc_cla_ICD9_code,1,1,1,1
acc_clean,claims,acc_cla_accident_calendar_year_nbr,1,1,1,1
acc_clean,claims,acc_cla_accident_date,1,1,1,1
acc_clean,claims,acc_cla_accident_in_NZ_ind,1,1,1,1
acc_clean,claims,acc_cla_accident_region_text,1,1,1,1
acc_clean,claims,acc_cla_accident_ta_text,1,1,1,1
acc_clean,claims,acc_cla_accredited_employer_ind,1,1,1,1
acc_clean,claims,acc_cla_activity_prior_text,1,1,1,1
acc_clean,claims,acc_cla_age_at_accident_nbr,1,1,1,1
acc_clean,claims,acc_cla_at_work_ind,1,1,1,1
acc_clean,claims,acc_cla_birth_month_nbr,1,1,1,1
acc_clean,claims,acc_cla_birth_year_nbr,1,1,1,1
acc_clean,claims,acc_cla_claim_costs_to_date_ex_gst_amt,1,1,1,1
acc_clean,claims,acc_cla_classification_unit_code,1,1,1,1
acc_clean,claims,acc_cla_classification_unit_text,1,1,1,1
acc_clean,claims,acc_cla_client_earner_status_text,1,1,1,1
acc_clean,claims,acc_cla_decision_text,1,1,1,1
acc_clean,claims,acc_cla_employee_ird_invalid_ind,1,1,1,1
acc_clean,claims,acc_cla_entitlement_claim_ind,1,1,1,1
acc_clean,claims,acc_cla_ethnic1_snz_code,1,1,1,1
acc_clean,claims,acc_cla_ethnic1_text,1,1,1,1
acc_clean,claims,acc_cla_ethnic2_snz_code,1,1,1,1
acc_clean,claims,acc_cla_ethnic2_text,1,1,1,1
acc_clean,claims,acc_cla_ethnic3_snz_code,1,1,1,1
acc_clean,claims,acc_cla_ethnic3_text,1,1,1,1
acc_clean,claims,acc_cla_ethnic_grp1_snz_ind,1,1,1,1
acc_clean,claims,acc_cla_ethnic_grp2_snz_ind,1,1,1,1
acc_clean,claims,acc_cla_ethnic_grp3_snz_ind,1,1,1,1
acc_clean,claims,acc_cla_ethnic_grp4_snz_ind,1,1,1,1
acc_clean,claims,acc_cla_ethnic_grp5_snz_ind,1,1,1,1
acc_clean,claims,acc_cla_ethnic_grp6_snz_ind,1,1,1,1
acc_clean,claims,acc_cla_external_agency_text,1,1,1,1
acc_clean,claims,acc_cla_fatal_ind,1,1,1,1
