table,var,alt_table,alt_var
census_dwelling_2018,cen_dwl_sector_of_llord_imp_flag,,cen_dwl_sector_of_llord_impt_ind
census_dwelling_2018,cen_dwl_sector_of_llord_impt_ind,,cen_dwl_sector_of_llord_imp_flag
census_dwelling_2018,cen_dwl_wkly_rent_amnt_imp_flag,,cen_dwl_wkly_rent_amt_impt_ind
census_dwelling_2018,cen_dwl_wkly_rent_amt_impt_ind,,cen_dwl_wkly_rent_amnt_imp_flag
census_dwelling_2018,cen_ind_eth_output_level4,,cen_ind_ethnic_concat
census_dwelling_2018,cen_ind_ethnic_concat,,cen_ind_eth_output_level4
census_dwelling_2018,cen_ind_language_concat,,cen_ind_language_output_level3
census_dwelling_2018,cen_ind_language_output_level3,,cen_ind_language_concat
census_dwelling_2018,cen_ind_prtnsp_stat_rel_imp_ind,,cen_ind_ptnrship_stus_rel_imp_fl
census_dwelling_2018,cen_ind_ptnrship_stus_rel_imp_fl,,cen_ind_prtnsp_stat_rel_imp_ind
census_dwelling_2018,cen_ind_religion_concat,,cen_ind_religion_output_level3
census_dwelling_2018,cen_ind_religion_output_level3,,cen_ind_religion_concat
personal_detail,snz_sex_code,,snz_sex_gender_code
personal_detail,snz_sex_gender_code,,snz_sex_code
personal_detail,snz_sex_gender_source_code,,snz_sex_source_code
personal_detail,snz_sex_source_code,,snz_sex_gender_source_code
new_applications_household,hnz_nah_gender_snz_code,,hnz_nah_sex_snz_code
new_applications_household,hnz_nah_sex_snz_code,,hnz_nah_gender_snz_code
register_household_snapshot,hnz_rhs_gender_snz_code,,hnz_rhs_sex_snz_code
register_household_snapshot,hnz_rhs_sex_snz_code,,hnz_rhs_gender_snz_code
register_status_change_househld,msd_gender_snz_code,,msd_sex_snz_code
register_status_change_househld,msd_sex_snz_code,,msd_gender_snz_code
tenancy_household_snapshot,hnz_ths_gender_snz_code,,hnz_ths_sex_snz_code
tenancy_household_snapshot,hnz_ths_sex_snz_code,,hnz_ths_gender_snz_code
transfer_applications_household,hnz_tah_gender_snz_code,,hnz_tah_sex_snz_code
